path	samplename	condition
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample1/sample1.Aligned.out.bam	sample1	dmso
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample10/sample10.Aligned.out.bam	sample10	bleb
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample12/sample12.Aligned.out.bam	sample12	bleb
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample14/sample14.Aligned.out.bam	sample14	wt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample15/sample15.Aligned.out.bam	sample15	wt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample16/sample16.Aligned.out.bam	sample16	wt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample17/sample17.Aligned.out.bam	sample17	wt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample18/sample18.Aligned.out.bam	sample18	wt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample19/sample19.Aligned.out.bam	sample19	vangl2
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample2/sample2.Aligned.out.bam	sample2	dmso
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample20/sample20.Aligned.out.bam	sample20	vangl2
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample21/sample21.Aligned.out.bam	sample21	vangl2
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample22/sample22.Aligned.out.bam	sample22	vangl2
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample23/sample23.Aligned.out.bam	sample23	vangl2
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample24/sample24.Aligned.out.bam	sample24	vangl2
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample3/sample3.Aligned.out.bam	sample3	dmso
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample4/sample4.Aligned.out.bam	sample4	dmso
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample5/sample5.Aligned.out.bam	sample5	dmso
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample6/sample6.Aligned.out.bam	sample6	dmso
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample7/sample7.Aligned.out.bam	sample7	bleb
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample8/sample8.Aligned.out.bam	sample8	bleb
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped/sample9/sample9.Aligned.out.bam	sample9	bleb
