path	samplename	condition	embryo_batch	expt_batch
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample1/sample1.Aligned.out.bam	sample1	dmso	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample10/sample10.Aligned.out.bam	sample10	bleb	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample12/sample12.Aligned.out.bam	sample12	bleb	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample14/sample14.Aligned.out.bam	sample14	wt	vangl2_expt_batch1	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample15/sample15.Aligned.out.bam	sample15	wt	vangl2_expt_batch1	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample16/sample16.Aligned.out.bam	sample16	wt	vangl2_expt_batch1	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample17/sample17.Aligned.out.bam	sample17	wt	vangl2_expt_batch1	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample18/sample18.Aligned.out.bam	sample18	wt	vangl2_expt_batch1	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample19/sample19.Aligned.out.bam	sample19	vangl2	vangl2_expt_batch2	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample2/sample2.Aligned.out.bam	sample2	dmso	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample20/sample20.Aligned.out.bam	sample20	vangl2	vangl2_expt_batch2	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample21/sample21.Aligned.out.bam	sample21	vangl2	vangl2_expt_batch2	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample22/sample22.Aligned.out.bam	sample22	vangl2	vangl2_expt_batch2	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample23/sample23.Aligned.out.bam	sample23	vangl2	vangl2_expt_batch2	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample24/sample24.Aligned.out.bam	sample24	vangl2	vangl2_expt_batch2	vangl2_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample3/sample3.Aligned.out.bam	sample3	dmso	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample4/sample4.Aligned.out.bam	sample4	dmso	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample5/sample5.Aligned.out.bam	sample5	dmso	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample6/sample6.Aligned.out.bam	sample6	dmso	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample7/sample7.Aligned.out.bam	sample7	bleb	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample8/sample8.Aligned.out.bam	sample8	bleb	bleb_expt_batch1	bleb_expt
/fast/AG_Ohler/Alison/panakova_CM_RNAseq/data/mapped_trimmed/sample9/sample9.Aligned.out.bam	sample9	bleb	bleb_expt_batch1	bleb_expt
