"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000103837",29.4596594680581,1.80635355061873,0.572067753095311,3.15758673836275,0.0015908090241602,0.0464187043239074,"LOC100329813","100329813"
"ENSDARG00000024433",57.4922921947958,1.5671027325494,0.475342897654457,3.2967837329266,0.000977987759982408,0.0323090820175894,"pvalb4","337731"
"ENSDARG00000012944",116.487331881824,1.50180908291086,0.375375452685289,4.0008185728915,6.31237424076938e-05,0.0040170485929302,"myhz2","246275"
"ENSDARG00000042245",1024.51624230418,1.44383699535504,0.379923154129582,3.80033956778162,0.000144497944179753,0.00834855885385915,"myl13","393488"
"ENSDARG00000022232",32.5627796026833,1.40930505632019,0.346906461139134,4.06249296047259,4.85514122899024e-05,0.00318192912485017,"ppan","317739"
"ENSDARG00000020890",49.2816483925404,1.38566032145154,0.462240903929066,2.99770165226264,0.00272023829688781,0.0698512652727155,"tmod4","30441"
"ENSDARG00000104028",44.9216180909086,1.33753375300655,0.354553740172789,3.77244293729553,0.00016165694525358,0.00876340304454902,"si:dkey-74k8.3","559618"
"ENSDARG00000063682",31.1793324657008,1.33058251482979,0.467575420238172,2.84570671861241,0.00443129868642396,0.0948193215352357,"fhod3a","564742"
"ENSDARG00000042559",116.255994204434,1.2459992501933,0.331343253474494,3.76044852921446,0.0001696089716166,0.00908235358985965,"tnni1c","751665"
"ENSDARG00000020574",2139.70430746423,1.1391718070662,0.331862576271947,3.43266125353253,0.000597688342152896,0.0243004584295682,"atp2a1","260440"
"ENSDARG00000103443",22.4316480865186,1.13284321611542,0.360748373341199,3.14025869506545,0.00168798704049828,0.0481295525638178,"vwde","767804"
"ENSDARG00000038785",21.135416810202,1.09516862290277,0.344604002461525,3.17804963111259,0.00148269367943694,0.0442891697034532,"abcf2a","336770"
"ENSDARG00000090230",37.0705887152054,1.07835093536665,0.346639409201503,3.11087229767288,0.00186535589334929,0.0523091552981654,"tmem108","563089"
"ENSDARG00000002589",291.977039934815,1.05622173242288,0.257496119467371,4.10189378623516,4.09782381745997e-05,0.00290218457781722,"mylpfb","447930"
"ENSDARG00000090895",52.1064376585566,1.03856786196865,0.289752037864074,3.58433324446835,0.000337940390505517,0.0156199605758918,"kansl1a","564520"
"ENSDARG00000002768",501.930346458245,1.02298442717858,0.234584351392805,4.36083831297689,1.29565084348993e-05,0.00123678322907919,"pvalb2","58028"
"ENSDARG00000014196",842.423482942295,1.01978861671185,0.29858811085421,3.41536913105619,0.000636956288097379,0.0250820332299199,"myl1","336165"
"ENSDARG00000099197",3482.94395831753,1.0097466678973,0.276094775879868,3.65724655484482,0.000254939131743516,0.0126559983512266,"actc1b","58114"
"ENSDARG00000024047",137.785895678567,1.00425141138823,0.271702523199636,3.69614311844408,0.000218899604421693,0.0110762149930576,"tmem38a","393874"
"ENSDARG00000067997",395.945318182931,0.994741541845905,0.245213626253026,4.05663240271759,4.97853448539405e-05,0.00321481543020078,"myhz1.3","100008070"
"ENSDARG00000035958",974.303752237152,0.978072537598734,0.158899452087457,6.15529207149443,7.49392575682944e-10,4.11322849977976e-07,"tnni2b.1","550249"
"ENSDARG00000024141",145.345084776672,0.975873292941575,0.308748946700201,3.16073399884068,0.00157372142679127,0.0463772535908755,"cav3","449679"
"ENSDARG00000032242",207.411634264198,0.975286873148517,0.283980606432621,3.43434322998363,0.000593991548229084,0.0243004584295682,"tnnt2c","353248"
"ENSDARG00000043180",47.5852684825604,0.969807501744572,0.266461296155009,3.63958111642752,0.000273081905408338,0.0128935768456776,"gpd1b","325181"
"ENSDARG00000013976",46.6682007344391,0.96938791853223,0.286365187438543,3.38514582447376,0.000711404502054301,0.0266528052931677,"anxa13","81880"
"ENSDARG00000029621",85.7358701812984,0.952722832180252,0.226669663113182,4.20313340168743,2.6324533990687e-05,0.00195916997886621,"sgms1","566563"
"ENSDARG00000029955",30.7489234604667,0.935192563945836,0.306387351313091,3.052321056786,0.00227079078130557,0.0613322320715608,"glb1l","100001628"
"ENSDARG00000001950",198.444034124213,0.920936863860179,0.232903085869426,3.95416342562541,7.68029023424989e-05,0.00474988090402694,"ak1","445486"
"ENSDARG00000045768",31.1202275560755,0.887163970655364,0.297730327754645,2.97975680659063,0.00288477309341271,0.0732198766079492,"cry1a","100003956"
"ENSDARG00000093957",42.6559465218566,0.87975109482203,0.311531351785079,2.82395684986774,0.00474347705203977,0.0975554878286322,"si:dkey-251i10.2","562682"
"ENSDARG00000044588",161.626785672626,0.857579949391498,0.202457286904441,4.23585617738853,2.2768248125977e-05,0.00175395399159939,"emp2","445506"
"ENSDARG00000056913",35.0214937222279,0.855096043665316,0.298122781513256,2.86826803146305,0.00412725724530005,0.0929129165589445,"pcolcea","563867"
"ENSDARG00000077467",103.579125083368,0.832844406451012,0.204118856500798,4.08019337717461,4.49982505785259e-05,0.00303980489677396,"sox10","140616"
"ENSDARG00000104587",412.073382945554,0.824899260638937,0.193326565027436,4.26686969026668,1.98234870616661e-05,0.00164235720165614,"srl","449670"
"ENSDARG00000019253",43.2652895106364,0.811691875900077,0.285958075103364,2.83849957937603,0.00453261791229687,0.0953100599618484,"rhag","405771"
"ENSDARG00000006514",99.4327565961648,0.785123083750284,0.232156849380499,3.38186482908151,0.000719955613893356,0.0266528052931677,"her6","30288"
"ENSDARG00000009136",49.2518444559292,0.782001881109655,0.267012034694203,2.92871398851084,0.00340367455513119,0.0821183240196762,"tp53bp2a","407983"
"ENSDARG00000115405",134.188311961829,0.775255095239743,0.240912496183514,3.21799453129735,0.00129090279106151,0.0400765823569067,"hbbe1.3","573653"
"ENSDARG00000036371",877.780922738876,0.767771852885277,0.134970292145164,5.68845070039203,1.28197109581101e-08,3.75275672113744e-06,"acta1a","550445"
"ENSDARG00000044601",157.253043824566,0.76212422980812,0.240893880586862,3.1637342881083,0.00155758928575902,0.0462119902281611,"rtn4a","447816"
"ENSDARG00000063612",56.3817582201722,0.756841130636952,0.245722355376125,3.08006623767896,0.00206954563444311,0.0571533011373567,"antxr1c","563907"
"ENSDARG00000074686",75.2355694006197,0.754989580268184,0.263362391058209,2.86673270710591,0.00414733127887796,0.0929129165589445,"oga","324487"
"ENSDARG00000053254",1729.40637530335,0.733774235109117,0.156367811382157,4.69261690512379,2.69732305206471e-06,0.00032899848671156,"mylpfa","30429"
"ENSDARG00000040565",2373.20503954198,0.730905647486095,0.157113612476882,4.65208352073021,3.28597928637128e-06,0.000379703553854113,"ckmb","794752"
"ENSDARG00000035066",62.0870428100399,0.730030799254132,0.209977004630525,3.47671784602649,0.000507591682608793,0.021431106522454,"ubtf","368509"
"ENSDARG00000099101",1312.14886445405,0.71443831144912,0.106291597921898,6.72149375319472,1.79870949423284e-11,1.12830476988235e-08,"gch2","64263"
"ENSDARG00000104039",102.761059085568,0.709579138452593,0.189222865081786,3.74996509087789,0.000176859189624471,0.00935649038121749,"errfi1a","798009"
"ENSDARG00000030270",280.619647963277,0.690325171947809,0.24517202986648,2.81567669984117,0.00486746217095909,0.0989491962624138,"tnnt3a","58084"
"ENSDARG00000087303",165.516669730698,0.689043294407941,0.205021845202386,3.36082866549053,0.000777090142225651,0.027413836731521,"cebpd","140817"
"ENSDARG00000036698",240.53398919466,0.684960632299083,0.154983276131543,4.41957770796973,9.88939570937989e-06,0.000981094590364508,"znf865","100034513"
"ENSDARG00000016775",71.2345675684743,0.683966557018531,0.238560140028551,2.86706134954763,0.00414302691333243,0.0929129165589445,"aqr","393436"
"ENSDARG00000033683",2824.03332105747,0.683925113759574,0.142340017842132,4.80486882134655,1.54852998812283e-06,0.000226653172594912,"tpma","30324"
"ENSDARG00000099510",98.1779499293852,0.68055735704111,0.186553257877262,3.64805935197801,0.00026422860688793,0.0126559983512266,"cnn3a","326931"
"ENSDARG00000101637",261.379880351905,0.677072387753424,0.22038215816522,3.07226498456297,0.00212441045377175,0.0583017893906986,"ccnd1","30222"
