"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000103837",29.4596594680581,1.80635355061873,0.572067753095311,3.15758673836275,0.0015908090241602,0.0464187043239074,"LOC100329813","100329813"
"ENSDARG00000024433",57.4922921947958,1.5671027325494,0.475342897654457,3.2967837329266,0.000977987759982408,0.0323090820175894,"pvalb4","337731"
"ENSDARG00000012944",116.487331881824,1.50180908291086,0.375375452685289,4.0008185728915,6.31237424076938e-05,0.0040170485929302,"myhz2","246275"
"ENSDARG00000042245",1024.51624230418,1.44383699535504,0.379923154129582,3.80033956778162,0.000144497944179753,0.00834855885385915,"myl13","393488"
"ENSDARG00000022232",32.5627796026833,1.40930505632019,0.346906461139134,4.06249296047259,4.85514122899024e-05,0.00318192912485017,"ppan","317739"
"ENSDARG00000104028",44.9216180909086,1.33753375300655,0.354553740172789,3.77244293729553,0.00016165694525358,0.00876340304454902,"si:dkey-74k8.3","559618"
"ENSDARG00000042559",116.255994204434,1.2459992501933,0.331343253474494,3.76044852921446,0.0001696089716166,0.00908235358985965,"tnni1c","751665"
"ENSDARG00000020574",2139.70430746423,1.1391718070662,0.331862576271947,3.43266125353253,0.000597688342152896,0.0243004584295682,"atp2a1","260440"
"ENSDARG00000103443",22.4316480865186,1.13284321611542,0.360748373341199,3.14025869506545,0.00168798704049828,0.0481295525638178,"vwde","767804"
"ENSDARG00000038785",21.135416810202,1.09516862290277,0.344604002461525,3.17804963111259,0.00148269367943694,0.0442891697034532,"abcf2a","336770"
"ENSDARG00000002589",291.977039934815,1.05622173242288,0.257496119467371,4.10189378623516,4.09782381745997e-05,0.00290218457781722,"mylpfb","447930"
"ENSDARG00000090895",52.1064376585566,1.03856786196865,0.289752037864074,3.58433324446835,0.000337940390505517,0.0156199605758918,"kansl1a","564520"
"ENSDARG00000002768",501.930346458245,1.02298442717858,0.234584351392805,4.36083831297689,1.29565084348993e-05,0.00123678322907919,"pvalb2","58028"
"ENSDARG00000014196",842.423482942295,1.01978861671185,0.29858811085421,3.41536913105619,0.000636956288097379,0.0250820332299199,"myl1","336165"
"ENSDARG00000099197",3482.94395831753,1.0097466678973,0.276094775879868,3.65724655484482,0.000254939131743516,0.0126559983512266,"actc1b","58114"
"ENSDARG00000024047",137.785895678567,1.00425141138823,0.271702523199636,3.69614311844408,0.000218899604421693,0.0110762149930576,"tmem38a","393874"
"ENSDARG00000090352",82.9152143038133,-1.01537330119672,0.233713571637041,-4.34452006395933,1.39580486425706e-05,0.00130403811892612,"LOC101883708","101883708"
"ENSDARG00000088283",39.4906522260392,-1.02501974752323,0.302729199774836,-3.38592956439491,0.000709375886825484,0.0266528052931677,"si:ch73-248e21.5","101885079"
"ENSDARG00000013598",114.69897342344,-1.06667344438296,0.22541603151908,-4.73202121958512,2.22295168085378e-06,0.000278885166589399,"tnfb","554167"
"ENSDARG00000033285",102.171868219388,-1.07584942223246,0.22273467619707,-4.83018378907727,1.36407082365783e-06,0.000213915535238627,"gsto2","492500"
"ENSDARG00000077726",119.512719773146,-1.08328187820419,0.20791158200785,-5.21030078143165,1.88534727971963e-07,3.76298177511313e-05,"nocta","572044"
"ENSDARG00000089667",67.8508206684636,-1.09599357772042,0.246238186873911,-4.45094886229664,8.54917000609067e-06,0.00087300943015684,"si:zfos-2330d3.3","100007474"
"ENSDARG00000012395",36.7902242591318,-1.10132902243909,0.297404650253026,-3.70313316050069,0.000212953031065326,0.011000903051857,"mmp13a","387293"
"ENSDARG00000007693",89.4544124059109,-1.12548104455333,0.240669062033021,-4.67646749044507,2.91858843336836e-06,0.000346365454349202,"nfkbiab","323099"
"ENSDARG00000069463",32.7475858367325,-1.12932774102809,0.338089900300688,-3.34031788593419,0.000836825440934461,0.0291627024693906,"alox12","322732"
"ENSDARG00000109648",226.384026069216,-1.18201456823319,0.14659471291573,-8.06314596702182,7.43556509094995e-16,1.63247831571806e-12,NA,NA
"ENSDARG00000075261",49.4773297630714,-1.21366450100395,0.297783261913038,-4.07566393492719,4.58832440884782e-05,0.00305262613321982,"timp2b","406650"
"ENSDARG00000053836",105.919918108694,-1.21425839229986,0.205185116716514,-5.91786778559329,3.26141968001303e-09,1.30189943772156e-06,"si:ch211-284o19.8","100007937"
"ENSDARG00000070057",72.4126758537693,-1.25627930677593,0.263381974692778,-4.76979986288475,1.84409043354201e-06,0.000253043784177593,"si:dkey-69o16.5","100149419"
"ENSDARG00000009978",90.8311545277287,-1.26091892307635,0.266360760492541,-4.73387641912692,2.20271873475047e-06,0.000278885166589399,"icn","336655"
"ENSDARG00000115195",72.2910138700144,-1.26630357529852,0.237143977242905,-5.33980913207614,9.30444877727894e-08,1.94551593243009e-05,NA,NA
"ENSDARG00000102896",32.5749858768172,-1.29551589197705,0.369172312251019,-3.50924446115061,0.000449381655528439,0.0193454397002488,"jmjd6","266962"
"ENSDARG00000033587",49.9582945448721,-1.30627838788045,0.287545197474311,-4.54286282419011,5.54953662052683e-06,0.000624820905147008,"LOC101884755","101884755"
"ENSDARG00000036832",76.7654837812312,-1.36636730072307,0.24932355948289,-5.48029758421942,4.24611047749185e-08,1.09674535921569e-05,"cyt1l","792062"
"ENSDARG00000058557",57.5273503940065,-1.38463050270547,0.274075783196298,-5.05199870837831,4.37210658337496e-07,8.34692174243455e-05,"il11b","108180095"
"ENSDARG00000092947",106.304263061119,-1.40217403174628,0.243552091510682,-5.75718329105285,8.55290290483136e-09,2.68255690393675e-06,"cyt1","30327"
"ENSDARG00000026726",124.950594998938,-1.41326059895604,0.206234200464577,-6.85269754372666,7.24702070662675e-12,6.36433358455961e-09,"anxa1a","334724"
"ENSDARG00000069844",22.6988970016776,-1.42633806820313,0.432519935627626,-3.29773948137994,0.000974665196147294,0.0323090820175894,"acod1","795305"
"ENSDARG00000098700",30.0355215508687,-1.48287984706161,0.348741558472661,-4.25208814675254,2.11786463504393e-05,0.00172213770601442,"il1b","405770"
"ENSDARG00000103740",33.811661809675,-1.49952823452483,0.376288300829568,-3.98505143853518,6.74655093761789e-05,0.00423201502386859,"fundc2","792181"
"ENSDARG00000076126",80.1610657601021,-1.61792503283759,0.362164685620921,-4.46737381383197,7.91856911505278e-06,0.00082786754724278,"si:ch73-187m15.4","337770"
"ENSDARG00000013095",65.7983026035468,-1.62152117933075,0.280406536526619,-5.7827509993756,7.34888004586275e-09,2.48222556010641e-06,"gclc","326857"
"ENSDARG00000017624",755.169854908308,-1.63189356906123,0.428090972126463,-3.81202518930755,0.000137832826102142,0.00806965252552675,"krt4","794486"
"ENSDARG00000042722",44.9836372208062,-1.68796562450601,0.312720265252548,-5.39768544626565,6.75060845087872e-08,1.56010114251623e-05,"blnk","405764"
"ENSDARG00000104359",21.1784448507585,-1.92880090299215,0.563902246541564,-3.42045259585604,0.000625170302444151,0.0249902019040509,"anxa1c","494158"
"ENSDARG00000098602",134.717813794398,-1.97935334382964,0.192030200773466,-10.3075106720564,6.5167424423802e-25,2.86150160644914e-21,NA,NA
"ENSDARG00000092806",47.2654398370468,-2.54107104748049,0.416061017402636,-6.10744804534622,1.01236750892304e-09,4.93922859075676e-07,"si:ch1073-110a20.2","100538070"
"ENSDARG00000032553",50.2745336798563,-2.88110914494653,0.538177572673597,-5.35345449390162,8.62907438016219e-08,1.89451328016461e-05,"egln3","406602"
