"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000029710",123.140548822335,6.83619325389241,0.636220637490724,10.7450039358273,6.25592547992196e-27,9.96763369878647e-25,"lrrc30a","552944"
"ENSDARG00000117641",31.1847441691734,6.58160438411038,1.07213903065943,6.13876017559245,8.31680129498552e-10,2.91842993061092e-08,NA,NA
"ENSDARG00000022817",432.886859273922,6.57552382753832,0.698639312991588,9.41190068360423,4.87244981491992e-21,4.97390645392323e-19,"pvalb3","100000771"
"ENSDARG00000101217",43.8476005944774,6.30524625242487,0.789964323318887,7.981684825885,1.443492276786e-15,9.17493029080608e-14,"fam78aa","559300"
"ENSDARG00000110179",48.6892959415239,6.23535983461654,0.786911079966357,7.92384297712916,2.30280391021214e-15,1.44038246702155e-13,NA,NA
"ENSDARG00000112703",4.40837586155327,6.16662405650294,1.51041658056247,4.08273064256651,4.4509601686108e-05,0.00069462668256791,NA,NA
"ENSDARG00000031243",123.726689987048,6.05938955989238,0.635676849096071,9.53218536825557,1.54006490203405e-21,1.64327015632873e-19,"snai3","567724"
"ENSDARG00000093237",54.0347348259806,5.87914890645307,1.77199998023813,3.31780416028164,0.000907280733203167,0.00951716502209247,"si:ch211-89o9.4","566247"
"ENSDARG00000002768",28139.5848144705,5.87126538414879,0.600680714913429,9.77435306041908,1.45081225791513e-22,1.68530068245797e-20,"pvalb2","58028"
"ENSDARG00000067997",48303.6651863019,5.86171858499252,0.693084916463361,8.45743204873568,2.73329716108784e-17,2.05922940433266e-15,"myhz1.3","100008070"
"ENSDARG00000053953",13.3890057996844,5.85195225927043,1.1871022322326,4.92961103127958,8.23934980021017e-07,1.89923858884414e-05,"myadml2","570494"
"ENSDARG00000078878",206.517688096228,5.84314950060267,0.702995230064611,8.31179110570299,9.42682635872468e-17,6.65550875344571e-15,NA,NA
"ENSDARG00000053254",137783.326055753,5.82141583041364,0.609540957886129,9.55049165293526,1.29082232653176e-21,1.38990325488335e-19,"mylpfa","30429"
