"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000054542",39.6534937052801,3.68757800961745,0.803422395405324,4.589837214778,4.435918195915e-06,0.000307363242167986,"il12bb","335994"
"ENSDARG00000105494",42.6519584153493,3.50621421241809,0.63037285728286,5.56212751216981,2.66505440865617e-08,5.46444931505479e-06,NA,NA
"ENSDARG00000092806",3433.57487725533,3.2847017796562,0.304147946081688,10.7996842391104,3.45389295516293e-27,3.47012625205219e-23,"si:ch1073-110a20.2","100538070"
"ENSDARG00000026049",377.548498319033,3.23587693838028,0.755357967253854,4.28389859995055,1.83646634508973e-05,0.000946851171448251,"mxf","561067"
"ENSDARG00000056511",45.371236701417,3.14670962970533,0.580929399825781,5.41668166673786,6.07152980316315e-08,1.07965769791823e-05,"arr3a","436678"
"ENSDARG00000068638",21.5379698859324,3.11261980748524,0.632313942775986,4.9225860714382,8.54079799281589e-07,8.17232356512584e-05,"lpar5b","798233"
"ENSDARG00000069926",22.168955298244,3.05415077837902,0.698180696275534,4.37444173789318,1.21743631767777e-05,0.000687167566500479,"hsd3b1","553532"
"ENSDARG00000101706",142.975394632768,3.01836946118971,0.478804333932303,6.30397272389031,2.90111570828345e-10,1.16590038084495e-07,"csrp3","450005"
"ENSDARG00000013222",134.801717160193,2.99012987173783,0.298944395727497,10.0022944549979,1.48906281823897e-23,7.48030706742346e-20,"slc35a3a","559707"
"ENSDARG00000041923",76.7196867509888,2.89195897981466,0.852333708030927,3.39298909871311,0.000691343894810489,0.0134220910360599,"ccl38.6","100034523"
"ENSDARG00000095512",40.9763743408247,2.85743530702962,0.484520677037594,5.89744760636482,3.69167433859133e-09,1.09088976705374e-06,"rca2.2","565541"
"ENSDARG00000045999",23.3014476514048,2.78024919021843,0.849014514651256,3.27467804406201,0.0010578245657618,0.018198567486659,"saa","449557"
"ENSDARG00000035435",45.4462494209385,2.77696347943993,0.710983924176302,3.90580347179739,9.3912816165885e-05,0.00325359332420223,"m17","555717"
"ENSDARG00000096367",67.1784085436399,2.74758433177056,0.384746840028371,7.14127848735017,9.2466794896199e-13,8.07838163758358e-10,NA,NA
"ENSDARG00000036215",145.879069734443,2.72489986702221,0.312955427869729,8.70699027516621,3.12049858725005e-18,8.95761408745749e-15,"lcp2b","100004351"
"ENSDARG00000093153",35.3964149948362,2.70786230786581,0.550357946751711,4.92018389822113,8.64629352800091e-07,8.23405792187916e-05,NA,NA
"ENSDARG00000035944",36.2685647119791,2.65470581251401,0.52057313714873,5.09958279263948,3.40402951668815e-07,4.02356288872539e-05,"sync","100034635"
"ENSDARG00000095746",224.753075125956,2.64046094910222,0.301612156621887,8.75449112753239,2.05026429424134e-18,6.86633512141423e-15,"LOC108179162","108179162"
"ENSDARG00000022525",62.470619702079,2.6199324900536,0.421345455466012,6.21801530327635,5.03482466972159e-10,1.87351420209973e-07,"mchr1b","353180"
"ENSDARG00000102758",491.547085730621,2.614386250426,0.573436904295919,4.55915242085093,5.13604857521855e-06,0.000348661351589329,"LOC553228","553228"
"ENSDARG00000015592",42.9234924614671,2.58545070165558,0.686873871569258,3.76408363845426,0.000167160932633419,0.00490355004428603,"c1ql2","100005110"
"ENSDARG00000093402",31.9091996299846,2.54308904224975,0.559408171714754,4.54603484688903,5.46659895610743e-06,0.000364936343601404,"LOC569265","569265"
"ENSDARG00000028546",21.9695775600125,2.52735428440179,0.532731266690878,4.74414482953242,2.09389005947572e-06,0.000168298507420421,"ndufs1","493605"
"ENSDARG00000043093",1383.81276027675,2.49166080179272,0.670452716261254,3.71638557255363,0.000202093103830157,0.00554005297184609,"mpeg1.2","553612"
"ENSDARG00000117338",18.3664680993979,2.46448983929866,0.722633773660696,3.41042714736972,0.000648612097468341,0.0128153505275603,NA,NA
"ENSDARG00000094232",41.8972039195029,2.45557512468672,0.390536182573344,6.28770197042,3.22199692566e-10,1.26946678871004e-07,"si:dkey-242h9.4","103909135"
"ENSDARG00000074852",66.5830852499247,2.37808001770714,0.528877322394321,4.49646811654006,6.90915343569164e-06,0.000440738187735834,"myo15b","795537"
"ENSDARG00000094845",184.897740643004,2.36232713873221,0.296356146994354,7.97124393298722,1.57085098521387e-15,3.15646796968876e-12,"si:zfos-2330d3.6","103909555"
"ENSDARG00000101754",279.848134634156,2.33292826078877,0.309802060163491,7.53038330202719,5.05915887500359e-14,6.35367115214513e-11,NA,NA
"ENSDARG00000043398",44.103665458305,2.32188412756967,0.397718450768426,5.83800958462851,5.28281191094873e-09,1.47434475748061e-06,"nitr2a","795524"
"ENSDARG00000015228",404.246207907882,2.297115472782,0.431807839485278,5.31976324357658,1.03902374418364e-07,1.63110493090828e-05,"ero1a","393321"
"ENSDARG00000074670",636.457573046084,2.29603795931863,0.348983405980863,6.5792181518354,4.72928466242468e-11,2.50079594754636e-08,"matk","567405"
"ENSDARG00000100484",26.9297843357269,2.28521866539644,0.513688545396719,4.44864633614046,8.6413166137686e-06,0.000529386024503251,"LOC101884623","101884623"
"ENSDARG00000082187",31.0743448421179,2.27377147586983,0.408191979742943,5.57034823982021,2.54230677383828e-08,5.32136586599024e-06,"mir21-1","100033581"
"ENSDARG00000031731",26.3592008103385,2.26831043015713,0.675350338698248,3.35871665442465,0.000783053121774814,0.0147882231475029,NA,NA
"ENSDARG00000019861",976.002085210401,2.26068145458166,0.538773126798453,4.19598035264916,2.7169380018079e-05,0.00126083492397986,"fgl2a","565637"
"ENSDARG00000095533",243.514563850695,2.25451449262392,0.342306469907215,6.58624563314572,4.51087323690431e-11,2.44976991411771e-08,NA,NA
"ENSDARG00000105485",35.4655421073502,2.25400054475485,0.477847204182416,4.71699012786186,2.39359300179936e-06,0.000187147306529791,"si:cabz01090193.1","100330290"
"ENSDARG00000105394",116.181559023814,2.24657485291031,0.45589470901054,4.9278370827909,8.31448993123275e-07,8.03227695568225e-05,"gemin6","100002528"
"ENSDARG00000075288",18.6023994388588,2.227982113751,0.710475017588318,3.13590493486147,0.00171324729170836,0.0250193674620068,"nitr4a","60652"
"ENSDARG00000091961",13.4378194162786,2.21967718304834,0.780275276187522,2.84473601918266,0.0044448242768765,0.0468806864745519,"pth1b","405885"
"ENSDARG00000102175",638.826112648237,2.20388473970984,0.410017670982064,5.37509696699449,7.65414788874383e-08,1.26265775823694e-05,"hamp","402837"
"ENSDARG00000028784",66.7945298075767,2.19138067253298,0.349962740188357,6.26175424090443,3.80670546287284e-10,1.44499211420732e-07,"LOC559843","559843"
"ENSDARG00000081252",16.0125680519273,2.18591251483737,0.658176091535764,3.32116669527884,0.000896419802111491,0.016242253835553,"mir16b","100033568"
"ENSDARG00000056535",25.1589421841412,2.18141470025647,0.704495372739411,3.09642161562269,0.00195871640184699,0.0274466160242074,"pla2g4f.1","798864"
"ENSDARG00000094331",40.0706533542529,2.17723506903267,0.465920007479629,4.67298041311922,2.96860086968382e-06,0.000220929873612692,NA,NA
"ENSDARG00000022615",57.7144049450076,2.17410433320823,0.508363894229321,4.276669444639,1.89710171417498e-05,0.000966282975718586,"si:ch211-241e1.3","567640"
"ENSDARG00000104489",13.4542604503702,2.16351678017552,0.729214960064017,2.96691222569761,0.00300806820394199,0.0362129860440035,NA,NA
"ENSDARG00000009511",368.456156361407,2.14926316582352,0.706705857305829,3.04124147777287,0.00235604792687725,0.0312021998837254,"tnfa","405785"
"ENSDARG00000095873",32.2129531333221,2.1419272382241,0.583728276948048,3.66939091836172,0.000243129052750081,0.00627141872395396,NA,NA
"ENSDARG00000079166",1105.93404100978,2.13779015863434,0.262097527029285,8.15646825387815,3.44963125379401e-16,7.70187671263742e-13,"ace","565980"
"ENSDARG00000028000",1348.73426752654,2.13378870047385,0.27307405991591,7.81395604229462,5.54204298178099e-15,1.01238010614461e-11,"pfkpa","560944"
"ENSDARG00000095941",16.4903411789943,2.12353168111845,0.602295810116303,3.52572879547077,0.000422319207369998,0.00937975187468208,NA,NA
"ENSDARG00000109697",18.6908169405553,2.09736044225961,0.637057723165045,3.29226122844795,0.000993852500426274,0.017564179545792,"LOC110437814","110437814"
"ENSDARG00000013245",280.950986245223,2.0966861916093,0.277310526249195,7.56078833345545,4.00633738380748e-14,5.3668895593485e-11,"wbp1la","555492"
"ENSDARG00000076914",623.557713888351,2.08303376989116,0.692487247650304,3.00804639646312,0.0026293299288134,0.0332915914238037,"lacc1","100005054"
"ENSDARG00000103306",18.8522450958984,2.07632021415786,0.556861553113513,3.72861118270561,0.000192537957874383,0.00536596078436596,"si:dkey-27n6.9","101882283"
"ENSDARG00000061235",122.422373093681,2.06520418142322,0.307292572723326,6.72064463882323,1.80922340315652e-11,1.10165257766749e-08,"alg5","751635"
"ENSDARG00000102318",683.442389642478,2.06477312178842,0.423961156630953,4.87019409560145,1.11488678780594e-06,0.000102164794117737,"il6","100885851"
"ENSDARG00000117262",79.5846242521627,2.05434041261486,0.424428960779125,4.84024560634059,1.29678760791618e-06,0.000115299337139238,NA,NA
"ENSDARG00000000001",183.713709288197,2.05251175489978,0.419565648535724,4.8919919017751,9.98205528642903e-07,9.3728700432479e-05,"slc35a5","368418"
"ENSDARG00000111595",31.0699541862923,2.0318556379237,0.45046957016456,4.51052806337497,6.46664452670322e-06,0.000417815932860368,NA,NA
"ENSDARG00000071648",99.3668944380376,2.00462526143622,0.328325815572841,6.10559744727563,1.02416844085142e-09,3.48807468652009e-07,"zgc:113298","553751"
"ENSDARG00000117229",226.184766817068,1.99355577258341,0.350450069355005,5.68855864760564,1.28116113242981e-08,2.99943413744441e-06,NA,NA
"ENSDARG00000013382",251.227865129284,1.98312889043129,0.196979883291579,10.0676721769388,7.67736265506151e-24,5.1422975063602e-20,"cwc15","415140"
"ENSDARG00000059196",43.6975578947853,1.97982048763856,0.423673397873249,4.6729874888932,2.9684985597743e-06,0.000220929873612692,NA,NA
"ENSDARG00000098754",22.9907364617187,1.9525773932258,0.478869898095655,4.07746947759864,4.55285043224912e-05,0.00189409889411209,NA,NA
