"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000105585",21.5419206120611,5.14231720357748,0.967782789814449,5.31350346141556,1.07537392213928e-07,3.85210258635787e-06,NA,NA
"ENSDARG00000097932",16.9226700226745,4.45479775595189,0.845180353656327,5.27082502176018,1.3581189747083e-07,4.78930452946358e-06,NA,NA
"ENSDARG00000104823",912.706070834678,4.22846823494723,0.351629570866797,12.0253487911261,2.61481561364898e-33,2.80996343155183e-30,"znf648","101886793"
"ENSDARG00000002768",59173.0971474643,4.22438747327512,0.624220190705387,6.76746368697469,1.31059529800663e-11,7.23236075532418e-10,"pvalb2","58028"
"ENSDARG00000029710",249.423638099387,4.1560548491538,0.400536652649179,10.3762160632875,3.18135816471699e-25,7.46631850657374e-23,"lrrc30a","552944"
"ENSDARG00000087258",57.8287580509643,4.14974359695214,0.51032241074566,8.13161152552311,4.23620530358555e-16,3.26395622221168e-14,"ypel2b","561851"
"ENSDARG00000055965",135.377559292353,4.1422930315727,0.346167308797283,11.9661589246096,5.34461005130504e-33,4.96028400125211e-30,"klc3","569394"
"ENSDARG00000033854",141.927277967285,4.1269787418375,0.355780601164661,11.5997857340386,4.1311124724633e-31,3.12403905417614e-28,"abrab","445477"
"ENSDARG00000117535",401.071759122953,4.1265020396833,0.691910155079641,5.96392755531725,2.462459485145e-09,1.10745589796675e-07,NA,NA
"ENSDARG00000109262",152.216695663677,4.11813311553578,1.02625434825569,4.0127801870319,6.00077872431654e-05,0.00127496253895,NA,NA
"ENSDARG00000071445",4913.6266823352,4.01132782595393,0.622183500071796,6.44717808410388,1.13951866530328e-10,5.86062773505349e-09,"myoz1b","436720"
"ENSDARG00000087901",68.880805266049,4.00848527739034,1.12628462205141,3.5590340122813,0.000372221330539514,0.00642435767282823,NA,NA
"ENSDARG00000010565",529.858343936787,4.00707290696709,0.342262837841936,11.707589793367,1.16545627004709e-31,9.15241773916213e-29,"aqp4","445293"
"ENSDARG00000004473",111.027826325234,3.99937198010287,0.384878788725722,10.3912506930928,2.71765778858276e-25,6.52813373262151e-23,"tbx21","797797"
"ENSDARG00000042033",308.676849200761,3.98170745930805,0.371013498433482,10.7319746481459,7.20400483429254e-27,2.3716824581955e-24,"mettl11b","568419"
"ENSDARG00000017246",2536.38626839865,3.97824477780658,0.376350575560401,10.5705824200822,4.07953154977968e-26,1.12561993491083e-23,"prx","571950"
"ENSDARG00000117361",5978.51257937935,3.95593502645549,0.735825815764021,5.37618406653478,7.60810154050605e-08,2.7789305412174e-06,NA,NA
"ENSDARG00000092143",958.399674960841,3.95322624403955,0.3845775266599,10.2794000428828,8.72691374189049e-25,1.85610546647833e-22,"ank1a","449796"
"ENSDARG00000035958",37068.375312514,3.95315231928761,0.673889760156045,5.86617063059724,4.45974857429636e-09,1.96248160323239e-07,"tnni2b.1","550249"
"ENSDARG00000003797",656.758702781253,3.94617613488681,0.367201937135283,10.7466103410914,6.14795780614453e-27,2.05785249976818e-24,"asb2a.1","567986"
"ENSDARG00000039726",96.7855051200161,3.94516567172834,0.383911707203245,10.2762317421066,9.01849694230958e-25,1.89834711925853e-22,"zgc:123321","559912"
"ENSDARG00000032630",8964.64507538075,3.93720282319539,0.688543160727933,5.71816415841375,1.07681089513639e-08,4.54262910266423e-07,"neb","566928"
"ENSDARG00000017441",82546.0818145582,3.93207701887953,0.63433950546847,6.19869483924957,5.69332954769184e-10,2.75465409253014e-08,"mylz3","58143"
"ENSDARG00000038716",4291.79222618736,3.92207667282425,0.65235778297339,6.01215586782419,1.83072168888194e-09,8.3623434996849e-08,"casq1a","445226"
"ENSDARG00000002589",10411.7346810198,3.91914784787691,0.701293921919587,5.58845260935585,2.29101879606203e-08,9.10078244708063e-07,"mylpfb","447930"
"ENSDARG00000004082",1979.99607966471,3.90367623663862,0.733879488207726,5.31923333376185,1.04205423668589e-07,3.73930815547497e-06,"cx39.9","404726"
"ENSDARG00000101128",199.146972004583,3.88940477271201,0.472233550872047,8.23618899065868,1.77783018186453e-16,1.43477219973558e-14,NA,NA
"ENSDARG00000001950",16466.3622973705,3.88261534945915,0.619409619967481,6.2682516129843,3.65124463009577e-10,1.79641235800712e-08,"ak1","445486"
"ENSDARG00000001913",1467.00683621081,3.86515583518521,0.817356120457255,4.72885164550174,2.25793288709322e-06,6.45692908804893e-05,"palmda","559824"
"ENSDARG00000029069",41042.9123483786,3.86312406024499,0.677453071527956,5.70242312361496,1.18116186601442e-08,4.94200061071361e-07,"tnni2a.4","494164"
"ENSDARG00000037789",24709.3800526005,3.85444551820485,0.660009619718693,5.83998384727738,5.22058836248645e-09,2.26795687628188e-07,"pvalb1","402805"
"ENSDARG00000016343",6064.84480601495,3.85129432386999,0.59702574994117,6.45080103203169,1.11260493289158e-10,5.73665846459096e-09,"zgc:92518","436634"
"ENSDARG00000030270",31855.4900609611,3.84909726458384,0.752290697532867,5.1165025397854,3.11253096107732e-07,1.03001065094452e-05,"tnnt3a","58084"
"ENSDARG00000013907",13.5522556939453,3.83253754783346,0.986577584071245,3.88467932954445,0.000102465038796066,0.00204309683802547,"si:ch211-253p14.2","570141"
"ENSDARG00000068457",21107.7381927129,3.83247667826258,0.631645812233721,6.06744571725981,1.29960521105624e-09,6.04449640076226e-08,"tnnt3b","100003572"
"ENSDARG00000009567",1124.96794729595,3.83197382720903,0.648150242377112,5.9121690877645,3.37631674239732e-09,1.50848217169078e-07,"spegb","563174"
"ENSDARG00000014196",116120.841755782,3.83194810340204,0.773644752064902,4.95311070510639,7.3036394509995e-07,2.29424169708473e-05,"myl1","336165"
"ENSDARG00000097962",95.1720631016415,3.83162182428168,0.468101574651067,8.18544955149501,2.71289016541241e-16,2.13045351528425e-14,NA,NA
"ENSDARG00000053254",282976.938535942,3.82774670183518,0.764489799737035,5.0069297237868,5.53051075230424e-07,1.77829871717398e-05,"mylpfa","30429"
"ENSDARG00000096257",25433.6953958561,3.8266961806045,0.678003182728938,5.64406816676316,1.66078267636446e-08,6.79556326372936e-07,"LOC100007086","100007086"
"ENSDARG00000110710",58.1945653800249,3.81306613892523,0.505769378112649,7.53913997947887,4.73080950643794e-14,3.17742330600164e-12,NA,NA
"ENSDARG00000067997",100925.018342387,3.81159000256581,0.838847004266023,4.54384408978236,5.52375201687844e-06,0.000145715721809592,"myhz1.3","100008070"
"ENSDARG00000061850",583.997281512503,3.8068738109287,0.317772338654472,11.9798778806487,4.5299047172507e-33,4.40436164365833e-30,"si:dkey-19b23.12","568864"
"ENSDARG00000100967",13.2001852091081,3.8065400433954,0.898916200425894,4.23458832045959,2.28970782422603e-05,0.000536753781343825,NA,NA
"ENSDARG00000040565",179299.715584778,3.80135667252256,0.701915691327216,5.41568840744218,6.1053344019696e-08,2.27479412079225e-06,"ckmb","794752"
"ENSDARG00000033683",152049.380099973,3.80037528228262,0.730382410443626,5.20326780593514,1.95814368987665e-07,6.71382683479347e-06,"tpma","30324"
"ENSDARG00000022817",908.898440941275,3.7971824110003,0.702911121707265,5.40208042487295,6.58724020027912e-08,2.44098494390742e-06,"pvalb3","100000771"
"ENSDARG00000024141",5465.88020534328,3.7957196572718,0.737676027316729,5.14551038221832,2.66794444998358e-07,8.9448423283686e-06,"cav3","449679"
"ENSDARG00000058799",146.935099100107,3.7765053810845,0.333731187260539,11.316009786452,1.09336123807422e-29,5.87480256815774e-27,"mybpha","393530"
"ENSDARG00000008772",2840.68992496927,3.77615617894516,0.797843294804177,4.73295470869625,2.21274877225698e-06,6.34549219549761e-05,"cacng1a","322013"
"ENSDARG00000020574",315097.260165158,3.7700740732899,0.611179473479858,6.16852207392425,6.89312284145589e-10,3.31666225403223e-08,"atp2a1","260440"
"ENSDARG00000045633",478.548316745098,3.76865698698147,0.761463633749943,4.94922780280675,7.45084994119189e-07,2.33688869584111e-05,"asb15a","100151067"
"ENSDARG00000076819",32.253535574547,3.75729284832936,0.663638249045598,5.66165807008992,1.49917320343419e-08,6.18386231671097e-07,"nlrc8","795668"
"ENSDARG00000041133",1047.23944991014,3.74050279009631,0.626029708628132,5.97496051472248,2.30145919000097e-09,1.03733319517527e-07,"rapsn","352942"
"ENSDARG00000103586",1232.50757102664,3.73865277502278,0.371073872029451,10.0752250611869,7.10978336513455e-24,1.27339962060805e-21,"si:dkey-65j6.2","100148904"
"ENSDARG00000036894",4058.34623041736,3.73570566061868,0.364211001475248,10.2569819293956,1.10093943196609e-24,2.29377360427384e-22,"aimp1b","494049"
"ENSDARG00000005526",825.024037783472,3.73524072915057,0.727103643034705,5.13715034291512,2.78935800654661e-07,9.33657570125717e-06,"igfn1.1","541504"
"ENSDARG00000098883",4120.89408880931,3.72688419253738,0.687103723441112,5.42404889595507,5.82639326296863e-08,2.17483176678781e-06,"stac3","445111"
"ENSDARG00000038658",4796.57000152574,3.71750774375878,0.683429049591811,5.43949331094299,5.34323152652347e-08,2.01660076355927e-06,"cavin4a","552940"
"ENSDARG00000070157",6346.68423212536,3.70290811897843,0.848223856209383,4.36548452613241,1.26841281611206e-05,0.000315066336732068,"tgm2a","447909"
"ENSDARG00000116895",357.590242292873,3.69673053164109,0.759481535532393,4.86743963966116,1.1305334478746e-06,3.38960821420024e-05,"gjd4","795763"
"ENSDARG00000018105",1931.94636265859,3.69602491552429,0.346272063041961,10.6737600574968,1.35048414037963e-26,4.05502723209872e-24,"casq1b","767757"
"ENSDARG00000078878",431.998213628324,3.68927097960412,0.708421753497049,5.20773248618133,1.91162251016798e-07,6.58204189082796e-06,NA,NA
"ENSDARG00000090371",563.716753581554,3.68402533944559,0.829832754812848,4.43947930240046,9.01767861287748e-06,0.000232185323982008,"si:dkey-46i9.6","571944"
"ENSDARG00000031243",251.473156022954,3.67842648500893,0.796032717187028,4.62094887005088,3.8198891722138e-06,0.000104550264233594,"snai3","567724"
"ENSDARG00000088813",502.2963889638,3.66910336404347,0.374871676365697,9.78762492705417,1.27249772335235e-22,1.96832261480366e-20,"ppp1r3ab","100001260"
"ENSDARG00000070923",3213.30723555412,3.66623624303995,0.359987730600627,10.1843366631495,2.32943112170015e-24,4.52974520408322e-22,"zgc:158296","791212"
"ENSDARG00000027355",1366.26672408814,3.66056748054564,0.779724720313252,4.69469209476265,2.67008597320985e-06,7.51969867599983e-05,"slc25a4","327067"
"ENSDARG00000099197",680854.275499475,3.65908257928143,0.627196161588502,5.83403216310198,5.41036851342869e-09,2.34541198104431e-07,"actc1b","58114"
"ENSDARG00000076312",2021.22685310767,3.65628394618465,0.349327197218977,10.466645526866,1.22921947388213e-25,3.13727540221568e-23,"myot","100329862"
"ENSDARG00000032389",532.189842897034,3.65217818349867,0.338214780930563,10.7983990925828,3.50257140411389e-27,1.19192504881996e-24,"tspan12","394127"
"ENSDARG00000009280",3709.82310776891,3.64903375906293,0.661834900594733,5.51351062898597,3.51745783288917e-08,1.36021693242294e-06,"smyd1a","321245"
"ENSDARG00000056743",10336.2747394438,3.64901677680726,0.654674110968335,5.57379116673785,2.49254506443517e-08,9.86294285380568e-07,"cavin4b","494036"
"ENSDARG00000019125",1276.0898728775,3.64387129277104,0.833689423925845,4.37077787986328,1.23804685932934e-05,0.000309405639826027,"klhl40b","795319"
"ENSDARG00000088571",124.909231966704,3.63769357030545,0.452380389397753,8.04122737315882,8.8943044490717e-16,6.70125122661055e-14,"soga3a","558933"
"ENSDARG00000062662",848.382978555871,3.63742749183812,0.63685535660895,5.71154415848247,1.11955637838479e-08,4.69386080777424e-07,"lmod3","100149390"
"ENSDARG00000105001",1517.47824529192,3.63410139077198,0.755317971558279,4.81135300312603,1.49911971706118e-06,4.40417645797917e-05,"zgc:91999","445104"
"ENSDARG00000012311",1135.81033472083,3.62689490155888,0.721834014777036,5.02455526798522,5.0460047563709e-07,1.63798609086774e-05,"myoz2a","393873"
"ENSDARG00000076241",9355.33179131747,3.62607668860707,0.624151182435202,5.80961278397245,6.26174989971601e-09,2.69162967268214e-07,"txlnbb","564166"
"ENSDARG00000035438",2196.90241466055,3.62389443828822,0.374944811259534,9.66514092064548,4.24035919966681e-22,6.0124759818609e-20,"myhc4","334274"
"ENSDARG00000062363",3521.79859586468,3.61852849604492,0.376668671530837,9.60666168847727,7.49392584710529e-22,1.03385795909592e-19,"phex","386969"
"ENSDARG00000012944",19597.989546333,3.6173450222046,0.967112206813502,3.74035711339354,0.000183758986206927,0.00344852112166639,"myhz2","246275"
"ENSDARG00000110179",100.544517256623,3.60866252896818,0.517548073823332,6.97261319573574,3.11107152433685e-12,1.80973955509715e-10,NA,NA
"ENSDARG00000067995",15970.3108440494,3.60850068490349,0.317688288809199,11.3586204213865,6.71973982298437e-30,3.92010422016271e-27,"myhz1.2","799300"
"ENSDARG00000098849",54.8102021551918,3.60525875528163,0.553903685872571,6.50881885648085,7.57439920517031e-11,3.95534739056694e-09,"slc25a29","100329459"
